Utterance,Speaker,Emotion,Strategy
I told you.,Client,sadness,undefined
Told me what?,Therapist,neutral,Open question
That you'd be sorry you ever encouraged me to cry here.,Client,sadness,undefined
I'm not sorry at all.,Therapist,neutral,Communication Skills
"You didn't expect it to be like this, I bet.",Client,sadness,undefined
Like what?,Therapist,neutral,Open question
You know what?,Client,sadness,undefined
It's disappointing.,Client,sadness,undefined
"I thought I'd feel better,",Client,sadness,undefined
relieved.,Client,sadness,undefined
I thought it'd be a lot more fun.,Client,sadness,undefined
And it isn't?,Therapist,neutral,Open question
"No, it's horrible.",Client,sadness,undefined
"I don't know if I'm able to talk today, Paul.",Client,sadness,undefined
I shouldn't have come. I should have just.,Client,sadness,undefined
I should have just called it off. I'm sorry.,Client,sadness,undefined
Are you all right?,Therapist,neutral,Open question
Yeah.,Client,sadness,undefined
Sit down.,Therapist,neutral,Communication Skills
Sit.,Therapist,neutral,Communication Skills
"You know, I've been sitting out in the park about four hours.",Client,sadness,undefined
Out here?,Therapist,neutral,Communication Skills
Yeah.,Client,sadness,undefined
"I wanted to call it off, the session, but...",Client,sadness,undefined
I wasn't sure i'd be able to make it home alone.,Client,sadness,undefined
I took a cab here.,Client,sadness,undefined
My car's at home.,Client,sadness,undefined
"God, at least I think it is.",Client,sadness,undefined
"Yeah yeah, my car's at home.",Client,sadness,undefined
"My god, it's freezing.",Client,sadness,undefined
I came this close to knocking on your door and asking for a sweater.,Client,sadness,undefined
When was that?,Therapist,neutral,Open question
"I don't know. Maybe 5:00 or 6:00,I can't remember.",Client,depression,undefined
It was still dark.,Client,depression,undefined
I waited for the sun to come up.,Client,depression,undefined
I've never waited,Client,depression,undefined
"this long for a sunrise,",Client,depression,undefined
except maybe on a camping trip in fifth grade.,Client,depression,undefined
Thank you.,Client,depression,undefined
You know what I did?,Client,sadness,undefined
What?,Therapist,neutral,Open question
"I held my cell phone,",Client,sadness,undefined
and I watched the minutes go by.,Client,sadness,undefined
It felt like forever for one minute to turn into the next.,Client,sadness,undefined
"I thought to myself,",Client,sadness,undefined
"how stupiis this,",Client,sadness,undefined
dying on the street like roadkill outside your therapist's office?,Client,sadness,undefined
"I'm sorry, Paul.",Client,sadness,undefined
I should have called it off.I shouldn't have come.,Client,sadness,undefined
You should have come here.,Therapist,neutral,Approval
What happened last night?,Therapist,neutral,Open question
"Well,",Client,sadness,undefined
what didn't happen?,Client,sadness,undefined
The long version or the bottom line?,Client,sadness,undefined
Because the bottom line is very simple.,Client,sadness,undefined
My life is over.,Client,sadness,undefined
"Then,",Therapist,neutral,Communication Skills
you'd better tell me the long version.,Therapist,neutral,Communication Skills
I left Andrew.,Client,sadness,undefined
We had a,Client,sadness,undefined
big blowout.,Client,sadness,undefined
"Screaming, crying. The works.",Client,sadness,undefined
"And at some point i,",Client,sadness,undefined
I called Alona and,Client,sadness,undefined
we went out for a drink.,Client,sadness,undefined
We had a few drinks.,Client,sadness,undefined
"Listen, I'm not here. I'm.",Client,sadness,undefined
I'm so totally not here.,Client,sadness,undefined
"You are very much here,",Therapist,neutral,Approval
Laura.,Therapist,neutral,Approval
"No, it's not me that's here.",Client,sadness,undefined
"Believe me, you'd be shocked to know the person that's sitting here.",Client,sadness,undefined
I did some.,Client,disgust,undefined
I did some terrible things last night.,Client,disgust,undefined
I feel sick.,Client,disgust,undefined
But I don't wanna throw up.,Client,disgust,undefined
"It doesn't matter, it's no big deal.",Therapist,neutral,Communication Skills
What do you mean?,Client,disgust,undefined
It's vomit. I'm not gonna,Client,disgust,undefined
vomit all over your rug.,Client,disgust,undefined
"It's a cheap rug, Laura.",Therapist,neutral,Communication Skills
Let's talk about what's,Therapist,neutral,Guiding the Pace and Depth of the Conversation
really going on here.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
It's Andrew.,Client,depression,undefined
He knows i'm here at this time. Why is he calling me here?,Client,depression,undefined
Maybe he's worried.,Therapist,neutral,Interpretation
